ID;Latitude;Longitude
1;-38.22609023528245;145.3196064884939
2;-38.149122359747054;145.30375128857509
3;-38.149178771238205;145.27865759858312
4;-38.145395713898594;145.28701657613328
5;-38.12778337446501;145.25838796282457
6;-38.1126396977137;145.33564774800453
7;-38.10481828204767;145.36591981493552
8;-38.11052594774287;145.25316675849405
9;-38.0793323832602;145.28492495564493
10;-38.0823724134525;145.3005920864643
11;-38.08261483214107;145.35684875766478
12;-38.09223302837595;145.2619406052519
13;-38.081425822153975;145.27025200949353
14;-38.07333044948674;145.2702993589743
15;-38.0711692961234;145.36277418272425
16;-38.05995666349997;145.3000725954657
17;-38.05125122155165;145.31124024350322
18;-38.06053862776768;145.342145472131
19;-38.02046934151359;145.33293431036404
20;-38.01296442213367;145.26718220598775
21;-37.992731700325216;145.3410207920076
22;-37.99856039039056;145.2468495559042
23;-37.96678434323244;145.25418782730353
24;-38.12517610550036;145.3030264522692
25;-38.13582707804997;145.31814025897074
26;-38.11808721965941;145.24147925412237
27;-38.125583045725335;145.27015514847275
28;-38.124243161876656;145.2893529690953
29;-38.0551521135984;145.36592318347974
30;-38.02370184510893;145.31606083825295
31;-37.98378652440291;145.3289748096887
32;-38.0038403799192;145.2811414571729
33;-37.998911416641086;145.2837535333376
34;-37.98135544836916;145.24448481040022
35;-38.20614256332242;145.31174564583446
36;-38.18111546845643;145.30983620228187
37;-38.19999834994234;145.26880522311586
38;-38.16336623035997;145.27536149261854
39;-38.18879238745458;145.34662591942867
40;-38.10410958627781;145.3056952625438
41;-38.09450245298447;145.27164473839008
42;-38.07926325518033;145.3169334598515
43;-38.06488005174251;145.3143584479171
44;-38.06235424035783;145.28876333394476
45;-38.04424793463352;145.29352068926448
46;-38.06205489399002;145.32924544259188
47;-38.06622159413337;145.3389215185491
48;-38.05684313249467;145.24908158721036
49;-38.03813281883468;145.26966718947708
50;-38.033134948833805;145.30613660451598
51;-38.044300449664775;145.31140827423113
52;-37.99420554378639;145.36183392634402
53;-38.04353443347718;145.31993926933146
54;-38.00596701599729;145.30961106798074
55;-38.01039010022447;145.3245654892503
56;-38.008018042859774;145.28643890451414
57;-37.98855039310671;145.23851750970164
58;-37.9868938116444;145.26821991161887
59;-37.975814553763534;145.29239737092573
60;-38.03695628823248;145.33858551432587
61;-38.20102422036713;145.3830081021843
62;-38.194865434556334;145.2367878055945
63;-38.150991282006615;145.24116754576235
64;-38.125396874633104;145.28627800147382
65;-38.1158010953126;145.28700978598653
66;-38.09747052082479;145.24706571490887
67;-38.11190380356485;145.2733364706121
68;-38.0864046629324;145.30978491315096
69;-38.08993595416067;145.31120639211437
70;-38.06941454875601;145.24918574315626
71;-38.109048818969086;145.28301279715225
72;-38.07254750542104;145.2876640167077
73;-38.0328987274158;145.35535826051404
74;-38.06328093342913;145.37465755386685
75;-38.05013228877852;145.33003337780772
76;-37.99795404912484;145.29265908799013
77;-37.993229300953615;145.310140042398
78;-37.990904874644606;145.29231370757915
79;-37.971576743524;145.30913666608194
80;-38.21407397668312;145.33998829409094
81;-38.14100519504667;145.25674943684427
82;-38.10371171887891;145.32534176094163
83;-38.09695944650724;145.2812604487984
84;-38.0893312612121;145.28698358594335
85;-38.10538692396735;145.27450661833552
86;-38.099111484453765;145.28105938481568
87;-38.05704021682425;145.25522367669683
88;-38.06601212367172;145.27111752580169
89;-38.070732927037234;145.33208111875618
90;-38.06511513236886;145.35256633076594
91;-38.049542796107175;145.26086052676104
92;-38.05256062828222;145.27239573019168
93;-38.04713877487456;145.3028639949212
94;-38.038574489062825;145.32696573111787
95;-38.02726599426748;145.31434751512734
96;-38.02616085874869;145.2645143298065
97;-38.014368385714185;145.29640614376189
98;-38.00500046260397;145.3316299201507
99;-37.974592739187216;145.35059550630015
100;-38.000359184680576;145.2633664517852
101;-37.99793982527081;145.29210914838802
102;-37.99405070713415;145.2589654874811
103;-37.9936733503457;145.27340558975538
104;-37.97288340274174;145.2375271881245
105;-38.197087461225216;145.339692099909
106;-38.19372997791011;145.3513759944601
107;-38.136031271946464;145.29141001545128
108;-38.14945600423412;145.35741453809254
109;-37.994425786547374;145.30465699421302
110;-37.95249536705139;145.26695856606855
